#rname,startpos,endpos,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq
NW_003573539.1,1,3019770,1,91,0.00301347,3.01347e-05,36.5,7
NW_003573543.1,1,2523760,1,40,0.00158494,1.58494e-05,36.7,42
NW_003573555.1,1,1881563,1,64,0.00340143,3.40143e-05,35.1,39
NW_003573560.1,1,1664782,1,50,0.0030034,3.0034e-05,36.8,1
NW_003573563.1,1,1593648,1,62,0.00389045,3.89045e-05,36.6,1
NW_003573564.1,1,1786499,1,50,0.00279877,2.79877e-05,35.2,42
NW_003573578.1,1,1094717,1,36,0.00328852,3.28852e-05,36.3,42
NW_003573591.1,1,820250,1,54,0.00658336,6.58336e-05,36.3,42
NW_003573610.1,1,600155,1,86,0.0143296,0.000143296,36.7,22
NW_003573626.1,1,440980,1,44,0.00997778,9.97778e-05,37,1
NW_003573670.1,1,434455,1,69,0.015882,0.00015882,36.7,1
NW_003573672.1,1,246253,1,32,0.0129948,0.000129948,36.2,1
NW_003573682.1,1,225000,1,71,0.0315556,0.000315556,36.5,1
NW_003573714.1,1,141745,1,43,0.0303362,0.000303362,36.7,0
NW_003573781.1,1,166595,1,57,0.0342147,0.000342147,36.8,26
NW_003573906.1,1,64353,1,45,0.0699268,0.000699268,35.6,30
NW_003573935.1,1,65705,1,47,0.0715318,0.000715318,37,1
NW_003574039.1,1,40470,1,39,0.0963677,0.000963677,33.2,0
NW_003574100.1,1,30364,1,61,0.200896,0.00200896,36.6,30
NW_003574179.1,1,23681,1,44,0.185803,0.00185803,37,1
NW_003574237.1,1,18770,1,42,0.223761,0.00223761,37,1
NW_003574496.1,1,11311,1,55,0.486252,0.00486252,37,1
NW_003574583.1,1,10130,1,41,0.404738,0.00404738,36.4,1
NW_003574827.1,1,8245,1,91,1.1037,0.011037,36.7,1
NW_003574898.1,1,7847,1,42,0.535236,0.00535236,37,1
NW_003574968.1,1,7486,0,57,0.761421,0.00761421,37,0
NW_003575534.1,1,5539,0,48,0.866582,0.00866582,37,0
NW_003573456.1,1,24123610,0,0,0,0,0,0
NW_003573461.1,1,20240796,0,0,0,0,0,0
NW_003573463.1,1,19290530,0,0,0,0,0,0
NW_003573468.1,1,17975571,0,0,0,0,0,0
NW_003573475.1,1,15601482,0,0,0,0,0,0
NW_003573476.1,1,15703727,0,0,0,0,0,0
NW_003573479.1,1,14386239,0,0,0,0,0,0
NW_003573480.1,1,14211812,0,0,0,0,0,0
NW_003573481.1,1,13814914,0,0,0,0,0,0
NW_003573483.1,1,13521255,0,0,0,0,0,0
NW_003573488.1,1,11916479,0,0,0,0,0,0
NW_003573491.1,1,11040415,0,0,0,0,0,0
NW_003573494.1,1,10329491,0,0,0,0,0,0
NW_003573495.1,1,10419729,0,0,0,0,0,0
NW_003573496.1,1,10030435,0,0,0,0,0,0
NW_003573498.1,1,8653747,0,0,0,0,0,0
NW_003573502.1,1,7591568,0,0,0,0,0,0
NW_003573503.1,1,7295257,0,0,0,0,0,0
NW_003573506.1,1,6682346,0,0,0,0,0,0
NW_003573508.1,1,6205168,0,0,0,0,0,0
NW_003573510.1,1,5835957,0,0,0,0,0,0
NW_003573512.1,1,5582385,0,0,0,0,0,0
NW_003573513.1,1,5552819,0,0,0,0,0,0
NW_003573514.1,1,5287335,0,0,0,0,0,0
NW_003573515.1,1,5265885,0,0,0,0,0,0
NW_003573516.1,1,5173823,0,0,0,0,0,0
NW_003573518.1,1,5064603,0,0,0,0,0,0
NW_003573519.1,1,5306716,0,0,0,0,0,0
NW_003573521.1,1,4714445,0,0,0,0,0,0
NW_003573522.1,1,4564343,0,0,0,0,0,0
NW_003573523.1,1,4085898,0,0,0,0,0,0
NW_003573525.1,1,3937829,0,0,0,0,0,0
NW_003573526.1,1,3668269,0,0,0,0,0,0
NW_003573527.1,1,3519391,0,0,0,0,0,0
NW_003573529.1,1,3519413,0,0,0,0,0,0
NW_003573531.1,1,3476692,0,0,0,0,0,0
NW_003573532.1,1,3349598,0,0,0,0,0,0
NW_003573533.1,1,3408981,0,0,0,0,0,0
NW_003573534.1,1,3418744,0,0,0,0,0,0
NW_003573535.1,1,3269196,0,0,0,0,0,0
NW_003573536.1,1,3251147,0,0,0,0,0,0
NW_003573537.1,1,3280801,0,0,0,0,0,0
NW_003573538.1,1,3099601,0,0,0,0,0,0
NW_003573540.1,1,2849556,0,0,0,0,0,0
NW_003573541.1,1,2714951,0,0,0,0,0,0
NW_003573542.1,1,2712466,0,0,0,0,0,0
NW_003573544.1,1,2474547,0,0,0,0,0,0
NW_003573545.1,1,2614449,0,0,0,0,0,0
NW_003573546.1,1,2406826,0,0,0,0,0,0
NW_003573547.1,1,2319825,0,0,0,0,0,0
NW_003573548.1,1,2329930,0,0,0,0,0,0
NW_003573549.1,1,2309364,0,0,0,0,0,0
NW_003573550.1,1,2313108,0,0,0,0,0,0
NW_003573551.1,1,2141249,0,0,0,0,0,0
NW_003573552.1,1,2069784,0,0,0,0,0,0
NW_003573553.1,1,2081237,0,0,0,0,0,0
NW_003573554.1,1,1918679,0,0,0,0,0,0
NW_003573556.1,1,1864263,0,0,0,0,0,0
NW_003573557.1,1,1829441,0,0,0,0,0,0
NW_003573558.1,1,1900517,0,0,0,0,0,0
NW_003573559.1,1,1685380,0,0,0,0,0,0
NW_003573561.1,1,1522449,0,0,0,0,0,0
NW_003573562.1,1,1641010,0,0,0,0,0,0
NW_003573565.1,1,1611659,0,0,0,0,0,0
NW_003573566.1,1,1617041,0,0,0,0,0,0
NW_003573567.1,1,1467358,0,0,0,0,0,0
NW_003573568.1,1,1467799,0,0,0,0,0,0
NW_003573569.1,1,1505875,0,0,0,0,0,0
NW_003573570.1,1,1466816,0,0,0,0,0,0
NW_003573571.1,1,1418188,0,0,0,0,0,0
NW_003573572.1,1,1399010,0,0,0,0,0,0
NW_003573573.1,1,1510218,0,0,0,0,0,0
NW_003573574.1,1,1394066,0,0,0,0,0,0
NW_003573575.1,1,1255991,0,0,0,0,0,0
NW_003573576.1,1,1277077,0,0,0,0,0,0
NW_003573577.1,1,1224500,0,0,0,0,0,0
NW_003573579.1,1,1045236,0,0,0,0,0,0
NW_003573580.1,1,983784,0,0,0,0,0,0
NW_003573581.1,1,922068,0,0,0,0,0,0
NW_003573582.1,1,975559,0,0,0,0,0,0
NW_003573583.1,1,961758,0,0,0,0,0,0
NW_003573584.1,1,1008836,0,0,0,0,0,0
NW_003573585.1,1,952956,0,0,0,0,0,0
NW_003573586.1,1,909374,0,0,0,0,0,0
NW_003573587.1,1,969689,0,0,0,0,0,0
NW_003573588.1,1,835459,0,0,0,0,0,0
NW_003573589.1,1,844830,0,0,0,0,0,0
NW_003573590.1,1,805605,0,0,0,0,0,0
NW_003573592.1,1,746364,0,0,0,0,0,0
NW_003573593.1,1,749006,0,0,0,0,0,0
NW_003573594.1,1,764447,0,0,0,0,0,0
NW_003573595.1,1,717854,0,0,0,0,0,0
NW_003573596.1,1,711466,0,0,0,0,0,0
NW_003573597.1,1,717022,0,0,0,0,0,0
NW_003573598.1,1,658401,0,0,0,0,0,0
NW_003573599.1,1,729872,0,0,0,0,0,0
NW_003573600.1,1,634280,0,0,0,0,0,0
NW_003573601.1,1,754340,0,0,0,0,0,0
NW_003573602.1,1,655883,0,0,0,0,0,0
NW_003573603.1,1,657726,0,0,0,0,0,0
NW_003573604.1,1,727768,0,0,0,0,0,0
NW_003573605.1,1,651586,0,0,0,0,0,0
NW_003573606.1,1,616762,0,0,0,0,0,0
NW_003573607.1,1,834971,0,0,0,0,0,0
NW_003573608.1,1,667861,0,0,0,0,0,0
NW_003573609.1,1,579758,0,0,0,0,0,0
NW_003573611.1,1,644339,0,0,0,0,0,0
NW_003573612.1,1,625358,0,0,0,0,0,0
NW_003573613.1,1,492801,0,0,0,0,0,0
NW_003573614.1,1,485690,0,0,0,0,0,0
NW_003573615.1,1,503624,0,0,0,0,0,0
NW_003573616.1,1,539357,0,0,0,0,0,0
NW_003573617.1,1,486040,0,0,0,0,0,0
NW_003573618.1,1,495383,0,0,0,0,0,0
NW_003573619.1,1,453699,0,0,0,0,0,0
NW_003573620.1,1,491456,0,0,0,0,0,0
NW_003573621.1,1,497037,0,0,0,0,0,0
NW_003573622.1,1,526606,0,0,0,0,0,0
NW_003573623.1,1,453194,0,0,0,0,0,0
NW_003573624.1,1,401994,0,0,0,0,0,0
NW_003573625.1,1,419399,0,0,0,0,0,0
NW_003573627.1,1,390156,0,0,0,0,0,0
NW_003573628.1,1,407232,0,0,0,0,0,0
NW_003573629.1,1,483915,0,0,0,0,0,0
NW_003573630.1,1,417969,0,0,0,0,0,0
NW_003573631.1,1,466785,0,0,0,0,0,0
NW_003573632.1,1,389200,0,0,0,0,0,0
NW_003573633.1,1,364349,0,0,0,0,0,0
NW_003573634.1,1,430907,0,0,0,0,0,0
NW_003573635.1,1,361345,0,0,0,0,0,0
NW_003573636.1,1,389875,0,0,0,0,0,0
NW_003573637.1,1,352930,0,0,0,0,0,0
NW_003573638.1,1,339089,0,0,0,0,0,0
NW_003573639.1,1,356114,0,0,0,0,0,0
NW_003573640.1,1,423341,0,0,0,0,0,0
NW_003573641.1,1,425580,0,0,0,0,0,0
NW_003573642.1,1,413174,0,0,0,0,0,0
NW_003573643.1,1,339585,0,0,0,0,0,0
NW_003573644.1,1,350319,0,0,0,0,0,0
NW_003573645.1,1,358653,0,0,0,0,0,0
NW_003573646.1,1,327509,0,0,0,0,0,0
NW_003573647.1,1,340593,0,0,0,0,0,0
NW_003573648.1,1,371981,0,0,0,0,0,0
NW_003573649.1,1,337993,0,0,0,0,0,0
NW_003573650.1,1,304267,0,0,0,0,0,0
NW_003573651.1,1,306863,0,0,0,0,0,0
NW_003573652.1,1,305976,0,0,0,0,0,0
NW_003573653.1,1,276454,0,0,0,0,0,0
NW_003573654.1,1,287981,0,0,0,0,0,0
NW_003573655.1,1,284063,0,0,0,0,0,0
NW_003573656.1,1,305654,0,0,0,0,0,0
NW_003573657.1,1,290843,0,0,0,0,0,0
NW_003573658.1,1,262639,0,0,0,0,0,0
NW_003573659.1,1,320784,0,0,0,0,0,0
NW_003573660.1,1,323045,0,0,0,0,0,0
NW_003573661.1,1,294422,0,0,0,0,0,0
NW_003573662.1,1,407719,0,0,0,0,0,0
NW_003573663.1,1,306477,0,0,0,0,0,0
NW_003573664.1,1,296274,0,0,0,0,0,0
NW_003573665.1,1,263727,0,0,0,0,0,0
NW_003573666.1,1,356776,0,0,0,0,0,0
NW_003573667.1,1,249350,0,0,0,0,0,0
NW_003573668.1,1,256971,0,0,0,0,0,0
NW_003573669.1,1,248875,0,0,0,0,0,0
NW_003573671.1,1,259136,0,0,0,0,0,0
NW_003573673.1,1,289999,0,0,0,0,0,0
NW_003573674.1,1,260875,0,0,0,0,0,0
NW_003573675.1,1,251762,0,0,0,0,0,0
NW_003573676.1,1,259838,0,0,0,0,0,0
NW_003573677.1,1,327464,0,0,0,0,0,0
NW_003573678.1,1,219444,0,0,0,0,0,0
NW_003573679.1,1,241128,0,0,0,0,0,0
NW_003573680.1,1,218615,0,0,0,0,0,0
NW_003573681.1,1,235814,0,0,0,0,0,0
NW_003573683.1,1,215928,0,0,0,0,0,0
NW_003573684.1,1,221297,0,0,0,0,0,0
NW_003573685.1,1,217197,0,0,0,0,0,0
NW_003573686.1,1,208172,0,0,0,0,0,0
NW_003573687.1,1,237470,0,0,0,0,0,0
NW_003573688.1,1,243644,0,0,0,0,0,0
NW_003573689.1,1,239449,0,0,0,0,0,0
NW_003573690.1,1,191353,0,0,0,0,0,0
NW_003573691.1,1,182042,0,0,0,0,0,0
NW_003573692.1,1,244744,0,0,0,0,0,0
NW_003573693.1,1,268730,0,0,0,0,0,0
NW_003573694.1,1,202616,0,0,0,0,0,0
NW_003573695.1,1,174143,0,0,0,0,0,0
NW_003573696.1,1,173121,0,0,0,0,0,0
NW_003573697.1,1,168046,0,0,0,0,0,0
NW_003573698.1,1,218017,0,0,0,0,0,0
NW_003573699.1,1,162562,0,0,0,0,0,0
NW_003573700.1,1,161312,0,0,0,0,0,0
NW_003573701.1,1,174332,0,0,0,0,0,0
NW_003573702.1,1,169770,0,0,0,0,0,0
NW_003573703.1,1,153840,0,0,0,0,0,0
NW_003573704.1,1,182411,0,0,0,0,0,0
NW_003573705.1,1,223038,0,0,0,0,0,0
NW_003573706.1,1,186812,0,0,0,0,0,0
NW_003573707.1,1,194397,0,0,0,0,0,0
NW_003573708.1,1,160349,0,0,0,0,0,0
NW_003573709.1,1,173852,0,0,0,0,0,0
NW_003573710.1,1,145396,0,0,0,0,0,0
NW_003573711.1,1,145132,0,0,0,0,0,0
NW_003573712.1,1,313665,0,0,0,0,0,0
NW_003573713.1,1,143423,0,0,0,0,0,0
NW_003573715.1,1,200733,0,0,0,0,0,0
NW_003573716.1,1,286989,0,0,0,0,0,0
NW_003573717.1,1,147490,0,0,0,0,0,0
NW_003573718.1,1,169544,0,0,0,0,0,0
NW_003573719.1,1,138850,0,0,0,0,0,0
NW_003573720.1,1,158159,0,0,0,0,0,0
NW_003573721.1,1,136618,0,0,0,0,0,0
NW_003573722.1,1,187061,0,0,0,0,0,0
NW_003573723.1,1,239553,0,0,0,0,0,0
NW_003573724.1,1,133985,0,0,0,0,0,0
NW_003573725.1,1,129866,0,0,0,0,0,0
NW_003573726.1,1,169243,0,0,0,0,0,0
NW_003573727.1,1,156562,0,0,0,0,0,0
NW_003573728.1,1,127972,0,0,0,0,0,0
NW_003573729.1,1,136694,0,0,0,0,0,0
NW_003573730.1,1,129842,0,0,0,0,0,0
NW_003573731.1,1,139534,0,0,0,0,0,0
NW_003573732.1,1,126538,0,0,0,0,0,0
NW_003573733.1,1,127273,0,0,0,0,0,0
NW_003573734.1,1,122285,0,0,0,0,0,0
NW_003573735.1,1,145241,0,0,0,0,0,0
NW_003573736.1,1,238358,0,0,0,0,0,0
NW_003573737.1,1,132205,0,0,0,0,0,0
NW_003573738.1,1,134139,0,0,0,0,0,0
NW_003573739.1,1,149040,0,0,0,0,0,0
NW_003573740.1,1,122762,0,0,0,0,0,0
NW_003573741.1,1,130840,0,0,0,0,0,0
NW_003573742.1,1,116627,0,0,0,0,0,0
NW_003573743.1,1,116157,0,0,0,0,0,0
NW_003573744.1,1,119838,0,0,0,0,0,0
NW_003573745.1,1,151529,0,0,0,0,0,0
NW_003573746.1,1,115000,0,0,0,0,0,0
NW_003573747.1,1,129158,0,0,0,0,0,0
NW_003573748.1,1,112844,0,0,0,0,0,0
NW_003573749.1,1,112817,0,0,0,0,0,0
NW_003573750.1,1,147641,0,0,0,0,0,0
NW_003573751.1,1,127323,0,0,0,0,0,0
NW_003573752.1,1,141300,0,0,0,0,0,0
NW_003573753.1,1,110655,0,0,0,0,0,0
NW_003573754.1,1,111627,0,0,0,0,0,0
NW_003573755.1,1,120880,0,0,0,0,0,0
NW_003573756.1,1,119753,0,0,0,0,0,0
NW_003573757.1,1,110681,0,0,0,0,0,0
NW_003573758.1,1,128342,0,0,0,0,0,0
NW_003573759.1,1,116284,0,0,0,0,0,0
NW_003573760.1,1,127870,0,0,0,0,0,0
NW_003573761.1,1,106414,0,0,0,0,0,0
NW_003573762.1,1,130236,0,0,0,0,0,0
NW_003573763.1,1,104090,0,0,0,0,0,0
NW_003573764.1,1,118681,0,0,0,0,0,0
NW_003573765.1,1,138132,0,0,0,0,0,0
NW_003573766.1,1,104792,0,0,0,0,0,0
NW_003573767.1,1,101446,0,0,0,0,0,0
NW_003573768.1,1,152063,0,0,0,0,0,0
NW_003573769.1,1,101097,0,0,0,0,0,0
NW_003573770.1,1,131939,0,0,0,0,0,0
NW_003573771.1,1,101132,0,0,0,0,0,0
NW_003573772.1,1,107491,0,0,0,0,0,0
NW_003573773.1,1,98697,0,0,0,0,0,0
NW_003573774.1,1,125536,0,0,0,0,0,0
NW_003573775.1,1,129513,0,0,0,0,0,0
NW_003573776.1,1,143283,0,0,0,0,0,0
NW_003573777.1,1,122728,0,0,0,0,0,0
NW_003573778.1,1,96026,0,0,0,0,0,0
NW_003573779.1,1,95726,0,0,0,0,0,0
NW_003573780.1,1,95576,0,0,0,0,0,0
NW_003573782.1,1,99913,0,0,0,0,0,0
NW_003573783.1,1,93842,0,0,0,0,0,0
NW_003573784.1,1,92437,0,0,0,0,0,0
NW_003573785.1,1,92162,0,0,0,0,0,0
NW_003573786.1,1,105551,0,0,0,0,0,0
NW_003573787.1,1,104152,0,0,0,0,0,0
NW_003573788.1,1,91555,0,0,0,0,0,0
NW_003573789.1,1,90797,0,0,0,0,0,0
NW_003573790.1,1,90527,0,0,0,0,0,0
NW_003573791.1,1,89947,0,0,0,0,0,0
NW_003573792.1,1,102349,0,0,0,0,0,0
NW_003573793.1,1,113899,0,0,0,0,0,0
NW_003573794.1,1,88842,0,0,0,0,0,0
NW_003573795.1,1,89450,0,0,0,0,0,0
NW_003573796.1,1,165325,0,0,0,0,0,0
NW_003573797.1,1,108101,0,0,0,0,0,0
NW_003573798.1,1,87141,0,0,0,0,0,0
NW_003573799.1,1,110565,0,0,0,0,0,0
NW_003573800.1,1,86328,0,0,0,0,0,0
NW_003573801.1,1,86279,0,0,0,0,0,0
NW_003573802.1,1,85478,0,0,0,0,0,0
NW_003573803.1,1,86642,0,0,0,0,0,0
NW_003573804.1,1,90936,0,0,0,0,0,0
NW_003573805.1,1,86625,0,0,0,0,0,0
NW_003573806.1,1,92461,0,0,0,0,0,0
NW_003573807.1,1,100436,0,0,0,0,0,0
NW_003573808.1,1,83749,0,0,0,0,0,0
NW_003573809.1,1,82993,0,0,0,0,0,0
NW_003573810.1,1,95268,0,0,0,0,0,0
NW_003573811.1,1,117477,0,0,0,0,0,0
NW_003573812.1,1,82632,0,0,0,0,0,0
NW_003573813.1,1,96526,0,0,0,0,0,0
NW_003573814.1,1,81717,0,0,0,0,0,0
NW_003573815.1,1,81557,0,0,0,0,0,0
NW_003573816.1,1,93178,0,0,0,0,0,0
NW_003573817.1,1,81457,0,0,0,0,0,0
NW_003573818.1,1,111884,0,0,0,0,0,0
NW_003573819.1,1,82035,0,0,0,0,0,0
NW_003573820.1,1,94276,0,0,0,0,0,0
NW_003573821.1,1,93747,0,0,0,0,0,0
NW_003573822.1,1,98155,0,0,0,0,0,0
NW_003573823.1,1,113981,0,0,0,0,0,0
NW_003573824.1,1,80288,0,0,0,0,0,0
NW_003573825.1,1,101797,0,0,0,0,0,0
NW_003573826.1,1,144780,0,0,0,0,0,0
NW_003573827.1,1,78615,0,0,0,0,0,0
NW_003573828.1,1,90291,0,0,0,0,0,0
NW_003573829.1,1,104370,0,0,0,0,0,0
NW_003573830.1,1,94846,0,0,0,0,0,0
NW_003573831.1,1,81428,0,0,0,0,0,0
NW_003573832.1,1,96748,0,0,0,0,0,0
NW_003573833.1,1,77685,0,0,0,0,0,0
NW_003573834.1,1,78386,0,0,0,0,0,0
NW_003573835.1,1,81486,0,0,0,0,0,0
NW_003573836.1,1,76917,0,0,0,0,0,0
NW_003573837.1,1,76887,0,0,0,0,0,0
NW_003573838.1,1,98863,0,0,0,0,0,0
NW_003573839.1,1,106940,0,0,0,0,0,0
NW_003573840.1,1,77564,0,0,0,0,0,0
NW_003573841.1,1,76994,0,0,0,0,0,0
NW_003573842.1,1,95784,0,0,0,0,0,0
NW_003573843.1,1,82563,0,0,0,0,0,0
NW_003573844.1,1,74307,0,0,0,0,0,0
NW_003573845.1,1,92064,0,0,0,0,0,0
NW_003573846.1,1,91521,0,0,0,0,0,0
NW_003573847.1,1,73577,0,0,0,0,0,0
NW_003573848.1,1,135939,0,0,0,0,0,0
NW_003573849.1,1,76533,0,0,0,0,0,0
NW_003573850.1,1,73446,0,0,0,0,0,0
NW_003573851.1,1,78028,0,0,0,0,0,0
NW_003573852.1,1,98560,0,0,0,0,0,0
NW_003573853.1,1,90962,0,0,0,0,0,0
NW_003573854.1,1,74607,0,0,0,0,0,0
NW_003573855.1,1,82814,0,0,0,0,0,0
NW_003573856.1,1,71388,0,0,0,0,0,0
NW_003573857.1,1,79195,0,0,0,0,0,0
NW_003573858.1,1,70837,0,0,0,0,0,0
NW_003573859.1,1,71328,0,0,0,0,0,0
NW_003573860.1,1,109116,0,0,0,0,0,0
NW_003573861.1,1,69667,0,0,0,0,0,0
NW_003573862.1,1,69590,0,0,0,0,0,0
NW_003573863.1,1,69494,0,0,0,0,0,0
NW_003573864.1,1,69374,0,0,0,0,0,0
NW_003573865.1,1,129800,0,0,0,0,0,0
NW_003573866.1,1,68758,0,0,0,0,0,0
NW_003573867.1,1,92354,0,0,0,0,0,0
NW_003573868.1,1,68007,0,0,0,0,0,0
NW_003573869.1,1,67854,0,0,0,0,0,0
NW_003573870.1,1,72291,0,0,0,0,0,0
NW_003573871.1,1,70951,0,0,0,0,0,0
NW_003573872.1,1,73939,0,0,0,0,0,0
NW_003573873.1,1,93386,0,0,0,0,0,0
NW_003573874.1,1,79743,0,0,0,0,0,0
NW_003573875.1,1,66539,0,0,0,0,0,0
NW_003573876.1,1,78850,0,0,0,0,0,0
NW_003573877.1,1,68255,0,0,0,0,0,0
NW_003573878.1,1,127783,0,0,0,0,0,0
NW_003573879.1,1,71848,0,0,0,0,0,0
NW_003573880.1,1,80853,0,0,0,0,0,0
NW_003573881.1,1,74067,0,0,0,0,0,0
NW_003573882.1,1,98602,0,0,0,0,0,0
NW_003573883.1,1,64571,0,0,0,0,0,0
NW_003573884.1,1,64631,0,0,0,0,0,0
NW_003573885.1,1,65135,0,0,0,0,0,0
NW_003573886.1,1,75642,0,0,0,0,0,0
NW_003573887.1,1,87386,0,0,0,0,0,0
NW_003573888.1,1,88249,0,0,0,0,0,0
NW_003573889.1,1,96129,0,0,0,0,0,0
