"EUK.BLANK-2","EUK.BLANK-3","EUK.BLANK-4","EUK.BLANK-5","EUK.BLANK-7","EUK.BLANK-8","EUK.ExrNTC-1","EUK.ExrNTC-3","EUK.ExrNTC-4","EUK.ExrNTC-5","EUK.ExrNTC-6","EUK.ExrNTC-7","EUK.ExrNTC-8","EUK.ExrPTC-1","EUK.ExrPTC-2","EUK.ExrPTC-3","EUK.ExrPTC-4","EUK.ExrPTC-5","EUK.ExrPTC-6","EUK.ExrPTC-7","EUK.ExrPTC-8","EUK.LH-MD9-0000-1","EUK.LH-MD9-0000-2","EUK.LH-MD9-0000-3","EUK.LH-MD9-0000-4","EUK.LH-MD9-0000-5","EUK.LH-MD9-0000-6","EUK.LH-MD9-0000-7","EUK.LH-MD9-0000-8","EUK.LH-MD9-0250-1","EUK.LH-MD9-0250-2","EUK.LH-MD9-0250-3","EUK.LH-MD9-0250-4","EUK.LH-MD9-0250-5","EUK.LH-MD9-0250-6","EUK.LH-MD9-0250-7","EUK.LH-MD9-0250-8","EUK.LH-MD9-0450-1","EUK.LH-MD9-0450-2","EUK.LH-MD9-0450-3","EUK.LH-MD9-0450-4","EUK.LH-MD9-0450-5","EUK.LH-MD9-0450-6","EUK.LH-MD9-0450-7","EUK.LH-MD9-0450-8","EUK.LH-MD9-0700-1","EUK.LH-MD9-0700-2","EUK.LH-MD9-0700-3","EUK.LH-MD9-0700-4","EUK.LH-MD9-0700-5","EUK.LH-MD9-0700-6","EUK.LH-MD9-0700-7","EUK.LH-MD9-0700-8","EUK.LH-MD9-0900-1","EUK.LH-MD9-0900-2","EUK.LH-MD9-0900-3","EUK.LH-MD9-0900-4","EUK.LH-MD9-0900-5","EUK.LH-MD9-0900-6","EUK.LH-MD9-0900-7","EUK.LH-MD9-0900-8","EUK.LH-MD9-1150-1","EUK.LH-MD9-1150-2","EUK.LH-MD9-1150-3","EUK.LH-MD9-1150-4","EUK.LH-MD9-1150-5","EUK.LH-MD9-1150-6","EUK.LH-MD9-1150-7","EUK.LH-MD9-1150-8","EUK.NM-MD9-1849-1","EUK.NM-MD9-1849-2","EUK.NM-MD9-1849-3","EUK.NM-MD9-1849-4","EUK.NM-MD9-1849-5","EUK.NM-MD9-1849-6","EUK.NM-MD9-1849-7","EUK.NM-MD9-1849-8","EUK.NM-MD9-2050-1","EUK.NM-MD9-2050-2","EUK.NM-MD9-2050-3","EUK.NM-MD9-2050-4","EUK.NM-MD9-2050-5","EUK.NM-MD9-2050-6","EUK.NM-MD9-2050-7","EUK.NM-MD9-2050-8","EUK.NM-MD9-2250-1","EUK.NM-MD9-2250-2","EUK.NM-MD9-2250-3","EUK.NM-MD9-2250-4","EUK.NM-MD9-2250-5","EUK.NM-MD9-2250-6","EUK.NM-MD9-2250-7","EUK.NM-MD9-2250-8","EUK.NM-MD9-2450-1","EUK.NM-MD9-2450-2","EUK.NM-MD9-2450-3","EUK.NM-MD9-2450-4","EUK.NM-MD9-2450-5","EUK.NM-MD9-2450-6","EUK.NM-MD9-2450-7","EUK.NM-MD9-2450-8","EUK.NM-MD9-2650-1","EUK.NM-MD9-2650-2","EUK.NM-MD9-2650-3","EUK.NM-MD9-2650-4","EUK.NM-MD9-2650-5","EUK.NM-MD9-2650-6","EUK.NM-MD9-2650-7","EUK.NM-MD9-2650-8","EUK.TubNTC-1","EUK.TubNTC-2","EUK.TubNTC-3","EUK.TubNTC-4","EUK.TubNTC-5","EUK.TubNTC-6","EUK.BLANK-1"
"ASV_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17834,7080,13741,6467,12190,20220,7597,16145,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,12,16,141,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,23,54,0,0,1932,344,337,1312,503,1517,813,450,787,1105,965,662,1954,876,1201,1621,3254,2690,1712,4929,3864,5822,3468,2530,2935,2330,5841,921,7802,4587,4189,8299,0,0,0,0,0,0,0
"ASV_13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,137,275,80,165,237,170,214,68,229,632,179,491,90,262,399,7543,9372,8535,8623,3654,7551,11861,13542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,0,0,0,1,3,0,0,0,4,0,0,1,6,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28607,1016,2171,1999,4707,26490,2443,4692,0,0,0,1,0,0,0,0,219,256,210,104,471,267,305,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_15",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51,22,13,70,68,9,38,74,0,0,0,7,1,3,0,0,344,821,914,459,6066,298,1028,1009,7367,7102,6915,7682,3291,4269,8561,8938,44,348,325,81,1031,22,153,529,0,3,0,1,2,0,0,9,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,724,393,1263,961,414,806,558,526,295,721,360,450,902,344,619,318,1134,2075,354,1262,494,1487,1056,721,1207,610,876,372,726,1077,841,328,1789,504,484,1031,148,828,1150,1862,1252,974,1069,2069,2547,1321,1134,2067,335,1066,746,975,3104,801,1250,746,154,119,552,102,130,185,160,56,379,153,74,364,180,172,237,601,315,263,991,378,968,452,359,349,346,499,510,1751,962,746,1214,0,0,0,0,0,0,0
"ASV_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,6,21,11,4,10,6,0,1,0,3,1,0,0,7,0,12,0,5,14,0,0,1,1,6,1,1,3,6,0,6,4,1,4,1,5,0,4,1,1,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4911,6312,5546,3706,13074,7855,9288,7813,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV_18",0,0,0,0,0,0,0,0,0,0,0,0,0,4189,7075,11682,3618,5670,6255,8774,10556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,19,0,0,0,43,0,21,0,0,0,0,0,0,0,0,94,0,19,0,0,0,0,5075,6961,8040,6469,2809,6009,9585,9163,14,0,0,0,0,0,72,24,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,35,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"ASV_20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3040,4921,3233,7296,4488,3376,5024,3570,1338,677,1305,698,1054,2060,611,1126,0,0,0,0,0,0,0,0,361,145,301,165,76,289,541,469,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,42,0,12,12,0,15,15,22,501,277,672,301,493,735,412,394,175,249,602,219,1101,190,705,335,1300,1366,1256,1571,583,1022,1993,2093,201,1354,447,501,1027,195,760,834,1838,1070,942,2186,2497,2099,1546,1144,177,2,11,25,0,330,23,87,0,52,0,45,15,66,0,31,0,0,88,0,0,0,0,55,28,61,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,38,12,0,11,6,7,19,1036,417,989,511,1658,1496,571,1337,145,386,542,202,636,108,607,454,1579,1347,1406,1434,842,947,1694,1647,108,436,139,259,1225,75,413,549,405,338,235,501,668,379,262,182,143,9,51,55,105,175,52,130,575,7,80,103,71,310,90,86,86,185,238,97,184,122,272,229,182,115,223,160,121,368,101,183,418,60,549,131,601,545,120,278,0,0,0,0,0,0,0
"ASV_23",0,0,0,0,0,0,0,0,0,0,0,0,0,2607,3731,7189,2354,3890,3904,6223,5976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3328,3185,1696,6365,6702,1932,5321,6031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,65,41,28,77,20,32,23,536,195,752,196,475,604,355,428,370,1815,2256,621,1806,515,1595,1589,77,151,22,141,61,0,104,170,112,582,304,306,663,107,403,607,689,488,384,561,805,503,272,360,681,58,205,414,302,618,272,334,143,80,145,180,141,177,131,146,0,334,349,44,45,299,343,62,20,45,8,137,21,136,24,0,238,132,1521,380,1408,611,379,1171,0,0,0,0,0,0,0
"ASV_26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,190,97,732,346,270,261,257,1029,479,811,445,623,1087,420,833,154,340,452,107,1047,247,836,532,544,589,776,669,171,626,1077,593,147,1163,265,473,917,134,984,800,431,486,361,529,932,851,529,535,482,75,133,164,391,349,161,301,212,55,0,76,38,107,115,9,27,150,77,50,261,57,89,388,87,43,142,297,47,233,114,153,53,90,0,0,217,84,0,767,0,0,0,0,0,0,0
"ASV_27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,828,466,1402,876,535,916,712,740,418,848,481,723,895,450,745,0,0,0,0,0,0,0,0,15,14,0,0,0,49,0,0,355,2736,825,622,2361,368,1405,1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,2124,1201,929,1274,555,1423,1295,0,0,0,0,0,0,0,0,9,0,0,45,288,0,0,0,0,0,0,0,0,0,0
"ASV_28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3902,3049,4072,5114,2317,2709,3498,4813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_29",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,208,204,107,545,295,91,366,195,1363,748,1182,564,1138,1369,857,1053,169,960,1090,201,686,314,861,483,464,750,569,841,321,538,1100,623,230,790,435,421,1017,150,860,1254,457,340,123,312,380,205,366,293,39,29,0,30,47,30,45,43,26,0,36,0,17,21,20,10,0,120,124,51,0,2,0,2,114,15,0,134,43,0,22,67,0,24,0,0,115,132,0,0,0,0,0,0,0,0,0
"ASV_30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16,55,0,10,28,0,0,180,91,153,144,130,112,40,78,77,366,576,195,619,147,493,387,716,1143,684,922,368,945,948,1636,25,60,81,184,347,34,305,350,489,411,312,703,742,711,413,322,606,74,281,223,268,879,205,308,292,108,59,209,27,184,25,123,146,165,190,44,40,56,77,281,127,189,165,458,205,580,166,366,289,121,942,260,721,531,260,584,0,0,0,0,0,0,0
"ASV_31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524,3650,2640,4817,4061,2272,4658,2847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_32",0,0,0,0,0,0,0,0,0,0,0,0,0,926,1520,17057,825,985,1262,1815,2635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,295,318,227,522,421,337,442,325,931,489,1032,523,575,1128,493,779,149,912,941,250,1364,131,653,410,329,510,623,646,239,577,609,404,144,494,236,324,306,81,457,668,166,207,173,169,199,522,148,116,146,47,68,68,57,158,138,53,526,108,148,156,55,359,25,71,79,0,57,103,209,23,97,7,143,94,3,86,52,254,66,115,111,20,164,73,53,241,12,169,0,0,0,0,0,0,0
"ASV_34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3998,1291,2176,4907,2577,3866,1405,4165,19,88,153,52,292,18,92,91,0,0,0,0,0,0,0,0,1,2,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,81,19,0,37,12,325,178,418,189,315,313,181,393,236,765,725,285,1579,357,1025,685,316,674,483,406,192,247,456,572,130,691,311,430,688,61,464,289,517,272,241,422,647,850,305,276,408,123,192,273,322,493,247,404,145,38,27,125,48,27,104,13,68,371,129,223,284,123,325,321,144,129,104,437,94,487,87,124,0,26,0,91,0,101,45,299,0,0,0,0,0,0,0
"ASV_36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,0,202,90,65,68,192,237,77,58,123,765,661,217,822,284,586,626,1131,1727,1215,1286,556,1010,1330,1696,18,0,11,0,0,0,0,62,1158,751,528,1064,1074,1460,1053,617,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,176,107,560,222,630,89,141,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0
"ASV_37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,1043,1101,556,3047,333,1074,942,45,182,66,0,40,49,113,135,9,0,0,0,0,10,52,0,0,0,0,0,0,0,0,0,4484,400,871,894,1642,4150,870,1821,0,0,0,0,0,0,0,0,0,0,0,38,0,36,0,0,99,0,0,0,0,0,48,0,0,24,0,0,0,0,46,0,0,0,0,0,0,0,0
"ASV_38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,13,0,0,85,78,58,214,78,50,152,106,2415,1106,2316,1001,1479,2804,1270,1836,53,493,414,150,484,179,623,375,64,225,66,94,55,169,127,105,23,269,0,157,111,32,199,93,75,175,55,78,140,46,22,82,391,57,82,379,241,740,128,141,142,5,22,124,6,112,50,75,0,223,205,79,120,0,103,198,41,0,0,58,17,0,0,16,76,0,153,24,0,72,75,0,0,0,0,0,0,0,0
"ASV_39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,2,0,5,61,29,22,94,57,51,32,65,117,304,269,150,2243,95,454,449,806,649,626,705,295,457,896,918,120,473,548,86,1896,46,431,1038,471,175,125,240,1513,303,157,198,1413,39,82,87,250,1182,109,260,348,31,42,60,34,100,39,41,14,79,88,15,53,53,67,57,127,159,31,101,129,155,159,53,88,51,113,8,200,50,112,264,1,0,0,0,0,0,0
"ASV_40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9027,268,536,532,1213,8133,799,1113,40,1,2,6,4,3,4,6,73,75,133,86,230,86,121,69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,28,0,0,0,0,0,0,0
"ASV_41",0,0,0,0,0,0,0,0,0,0,0,0,0,1321,2355,4513,1412,2120,2201,3507,4524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
