,EUK.BLANK.2,EUK.BLANK.3,EUK.BLANK.4,EUK.BLANK.5,EUK.BLANK.7,EUK.BLANK.8,EUK.ExrNTC.1,EUK.ExrNTC.3,EUK.ExrNTC.4,EUK.ExrNTC.5,EUK.ExrNTC.6,EUK.ExrNTC.7,EUK.ExrNTC.8,EUK.TubNTC.1,EUK.TubNTC.2,EUK.TubNTC.3,EUK.TubNTC.4,EUK.TubNTC.5,EUK.TubNTC.6,EUK.BLANK.1,OTU,assignmentQual,taxID,superkingdom,phylum,class,order,family,genus,species,Sum
ASV_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_21,Low,284968,Eukaryota,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Nannochloris,Nannochloris sp. MBIC10055,0
ASV_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_22,Low,35684,Eukaryota,,Dictyochophyceae,Pedinellales,,Pseudopedinella,Pseudopedinella elastica,0
ASV_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_23,Low,254430,Eukaryota,,Ichthyosporea,Ichthyophonida,,Anurofeca,Anurofeca sp. LAH-2003,0
ASV_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_24,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_25,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_26,Low,470921,Eukaryota,,Ichthyosporea,Ichthyophonida,,Creolimax,Creolimax fragrantissima,0
ASV_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_27,Low,476100,Eukaryota,,Dinophyceae,Peridiniales,Pfiesteriaceae,,Pfiesteriaceae sp. masanensis,0
ASV_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_28,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ASV_29,Low,2012228,Eukaryota,Cryptomycota,,,,,Cryptomycota sp.,1
ASV_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_30,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_31,Low,670520,Eukaryota,,Bigyra,Thraustochytrida,Thraustochytriaceae,Aplanochytrium,Aplanochytrium sp. S1a,0
ASV_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_32,Low,694315,Bacteria,Myxococcota,,Haliangiales,Kofleriaceae,Kofleria,Kofleria flava,0
ASV_33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_33,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_34,Low,1516059,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Microbulbiferaceae,Microbulbifer,Microbulbifer sp. ALW1,0
ASV_35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_35,High-MH,None,Eukaryota,Streptophyta,Magnoliopsida,Alismatales,Zosteraceae,NA,NA,0
ASV_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_36,High-MH,None,Eukaryota,,Dinophyceae,NA,NA,NA,NA,0
ASV_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_37,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_38,High-MH,None,Eukaryota,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,0
ASV_39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ASV_39,High,2053489,Archaea,Candidatus Lokiarchaeota,,,,,Candidatus Lokiarchaeota archaeon,1
ASV_40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_40,High-MH,None,Bacteria,NA,NA,NA,NA,NA,NA,0
ASV_41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_41,Low,1503927,Eukaryota,Euglenozoa,,Diplonemea,Hemistasiidae,Hemistasia,Hemistasia phaeocysticola,0
ASV_42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_42,Low,947086,Eukaryota,Apicomplexa,Conoidasida,Eugregarinorida,Cephaloidophoridae,Cephaloidophora,Cephaloidophora cf. communis,0
ASV_43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_43,Low,1548548,Bacteria,,Deltaproteobacteria,Bradymonadales,Bradymonadaceae,Bradymonas,Bradymonas sediminis,0
ASV_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_44,Low,46767,Eukaryota,,Bigyra,Opalinata,Blastocystidae,Blastocystis,Blastocystis sp.,0
ASV_45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_45,Low,629752,Eukaryota,Cercozoa,Imbricatea,Thaumatomonadida,Thaumatomastigidae,Protaspis,Protaspis sp. CC-2009a,0
ASV_46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_46,High-MH,None,Bacteria,NA,NA,NA,NA,NA,NA,0
ASV_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_47,Low,1475470,Eukaryota,Chlorophyta,Chlorophyceae,Sphaeropleales,Neochloridaceae,Neochloris,Neochloris sp. GM4e,0
ASV_48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_48,Low,1869227,Bacteria,,,,,,bacterium,0
ASV_49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_49,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_50,High-MH,None,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,NA,NA,NA,0
ASV_51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_51,High-MH,None,Bacteria,Pseudomonadota,Alphaproteobacteria,Parvularculales,Parvularculaceae,NA,NA,0
ASV_52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_52,Low-MH-S,1295009;1406512,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,NA,0
ASV_53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_53,Low,2805731,Eukaryota,,,,,,Stramenopiles sp. MAST-9A-sp1,0
ASV_54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_54,High-MH,None,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,0
ASV_55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_55,Low,42384,Eukaryota,,Hyphochytriomycetes,,Hyphochytriaceae,Hyphochytrium,Hyphochytrium catenoides,0
ASV_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_56,High,2053489,Archaea,Candidatus Lokiarchaeota,,,,,Candidatus Lokiarchaeota archaeon,0
ASV_57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_57,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_58,Low,670520,Eukaryota,,Bigyra,Thraustochytrida,Thraustochytriaceae,Aplanochytrium,Aplanochytrium sp. S1a,0
ASV_59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_59,Low,67961,Eukaryota,Rhodophyta,Florideophyceae,Thoreales,Thoreaceae,Thorea,Thorea violacea,0
ASV_60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_60,Low,2291665,Eukaryota,Bacillariophyta,Bacillariophyceae,Cymbellales,Rhoicospheniaceae,Tursiocola,Tursiocola sp.,0
ASV_61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_61,Low,483369,Eukaryota,,Dictyochophyceae,Pedinellales,,,Pedinellales sp. CCMP2098,0
ASV_62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_62,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_63,Low,2107687,Eukaryota,Apicomplexa,Conoidasida,Eugregarinorida,Siedleckiidae,Chattonaria,Chattonaria mesnili,0
ASV_64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_64,High-MH,None,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA,0
ASV_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_65,High-MH,None,Bacteria,Pseudomonadota,Alphaproteobacteria,NA,NA,NA,NA,0
ASV_66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_66,Low,156121,Eukaryota,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Nannochloris,Nannochloris sp. MBIC10091,0
ASV_67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_67,Low,1234144,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas gorgoniicola,0
ASV_68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_68,Low,193542,Eukaryota,,Centroplasthelida,Pterocystida,Pterocystidae,Chlamydaster,Chlamydaster sterni,0
ASV_69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_69,High,2493946,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Bovistella,Bovistella utriformis,0
ASV_70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_70,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_71,High-MH,None,Eukaryota,Streptophyta,Magnoliopsida,NA,NA,NA,NA,0
ASV_72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_72,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_73,Low,1866326,Bacteria,Pseudomonadota,Alphaproteobacteria,Parvularculales,Parvularculaceae,Hyphococcus,Hyphococcus flavus,0
ASV_74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_74,Low,947098,Eukaryota,Apicomplexa,Conoidasida,Eugregarinorida,Porosporidae,Thiriotia,Thiriotia pugettiae,0
ASV_75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_75,Low,672126,Eukaryota,,Bigyra,Oblongichytrida,,Oblongichytrium,Oblongichytrium sp. TN6,0
ASV_76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_76,High-MH,None,Eukaryota,NA,NA,NA,NA,NA,NA,0
ASV_77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_77,Low,627966,Eukaryota,,Bigyra,Oblongichytrida,,Oblongichytrium,Oblongichytrium sp. PBS05,0
ASV_78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_78,Low,331610,Eukaryota,Ciliophora,Spirotrichea,Urostylida,Holostichidae,Holosticha,Holosticha diademata,0
ASV_79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_79,High-MH,None,Eukaryota,,Dinophyceae,NA,NA,NA,NA,0
ASV_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_80,High,35684,Eukaryota,,Dictyochophyceae,Pedinellales,,Pseudopedinella,Pseudopedinella elastica,0
ASV_81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_81,Low,2014757,Eukaryota,Ciliophora,Litostomatea,Haptorida,Spathidiidae,Spathidium,Spathidium papilliferum,0
ASV_82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_82,High-MH,None,Eukaryota,Ciliophora,Oligohymenophorea,Hymenostomatida,NA,NA,NA,0
ASV_83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_83,Low,88552,Eukaryota,,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,Amoebophrya sp.,0
ASV_84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_84,High,404881,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Defluviimonas,Defluviimonas denitrificans,0
ASV_85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_85,Low,254430,Eukaryota,,Ichthyosporea,Ichthyophonida,,Anurofeca,Anurofeca sp. LAH-2003,0
ASV_86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_86,High-MH,None,Bacteria,NA,NA,NA,NA,NA,NA,0
ASV_87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_87,Low,136459,Eukaryota,Tubulinea,Elardia,Leptomyxida,Flabellulidae,Paraflabellula,Paraflabellula hoguae,0
ASV_88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_88,High-MH,None,Bacteria,Pseudomonadota,Alphaproteobacteria,NA,NA,NA,NA,0
ASV_89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_89,High,304200,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia amphibia,0
ASV_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_90,Low,629759,Eukaryota,Cercozoa,Thecofilosea,,Ebriacea,Botuliforma,Botuliforma benthica,0
ASV_91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_91,Low,629759,Eukaryota,Cercozoa,Thecofilosea,,Ebriacea,Botuliforma,Botuliforma benthica,0
ASV_92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_92,High-MH,None,Eukaryota,Basidiomycota,Agaricomycetes,NA,NA,NA,NA,0
ASV_93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_93,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_94,Low,2586418,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Frigidibacter,Frigidibacter sp.,0
ASV_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_95,High-MH,None,Can't find taxa in database,Can't find taxa in database,Can't find taxa in database,Can't find taxa in database,Can't find taxa in database,Can't find taxa in database,Can't find taxa in database,0
ASV_96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_96,Low,2711279,Eukaryota,Apicomplexa,Conoidasida,Eugregarinorida,Cephaloidophoridae,Cephaloidophora,Cephaloidophora bipinnatae,0
ASV_97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_97,High,92964,Eukaryota,Oomycota,,Pythiales,Pythiaceae,Pythium,Pythium monospermum,0
ASV_98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_98,Low,286727,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum oryzae,0
ASV_99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_99,Low,2997337,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Parasedimentitalea,Parasedimentitalea sp. QS115,0
ASV_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_100,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_101,High,374515,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhodovibrionaceae,Pelagibius,Pelagibius litoralis,0
ASV_102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_102,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_103,High-MH,None,Bacteria,Pseudomonadota,Gammaproteobacteria,,,NA,NA,0
ASV_104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_104,Low,947098,Eukaryota,Apicomplexa,Conoidasida,Eugregarinorida,Porosporidae,Thiriotia,Thiriotia pugettiae,0
ASV_105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_105,Low,1000990,Eukaryota,Haptophyta,,Pavlovales,Pavlovaceae,Exanthemachrysis,Exanthemachrysis sp. AC245,0
ASV_106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_106,High,304200,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia amphibia,0
ASV_107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_107,Low-MH-S,1683266;1973260,Eukaryota,Ciliophora,Litostomatea,Haptorida,Lacrymariidae,NA,NA,0
ASV_108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_108,High,2053489,Archaea,Candidatus Lokiarchaeota,,,,,Candidatus Lokiarchaeota archaeon,0
ASV_109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_109,Low,1629645,Eukaryota,Apicomplexa,Conoidasida,Eugregarinorida,Porosporidae,Thiriotia,Thiriotia sp. MS-2015,0
ASV_110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_110,High,201961,Eukaryota,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidiella,Ascidiella aspersa,0
ASV_111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_111,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_112,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_113,Low,1921603,Eukaryota,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,,Glomeraceae sp.,0
ASV_114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_114,Low,374515,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhodovibrionaceae,Pelagibius,Pelagibius litoralis,0
ASV_115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_115,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_116,Low,2732249,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas groenlandica,0
ASV_117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_117,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_118,High,1973086,Eukaryota,,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Spiniferites,Spiniferites ramosus,0
ASV_119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_119,Low,373042,Eukaryota,Haptophyta,,Zygodiscales,Braarudosphaeraceae,Braarudosphaera,Braarudosphaera bigelowii,0
ASV_120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_120,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_121,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_122,Low,464244,Eukaryota,,,,,,Stramenopile sp. RCC862,0
ASV_123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_123,Low,2126271,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,,,Naviculales sp.,0
ASV_124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_124,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_125,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_126,Low,2026785,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhodobiaceae,,Rhodobiaceae bacterium,0
ASV_127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_127,Low,2919515,Eukaryota,,Bigyra,Bicosoecida,,,Bicosoecida sp. HIYC8c1,0
ASV_128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_128,Low,230409,Eukaryota,,,Pirsoniales,,Pirsonia,Pirsonia formosa,0
