"","LH-MD9-0000","LH-MD9-0250","LH-MD9-0450","LH-MD9-0700","LH-MD9-0900","LH-MD9-1150","NM-MD9-1849","NM-MD9-2050","NM-MD9-2250","NM-MD9-2450","NM-MD9-2650"
"Branchiostoma",0,19,0,16,26,64,16,23,38,45,0
"Brassica",0,0,0,0,0,0,0,0,0,15,0
"Bremerella",49,16,19,20,28,40,0,21,34,42,29
"Breoghania",69,26,32,17,17,18,21,25,19,56,16
"Brevibacillus",0,0,10,15,11,21,73,32,15,17,18
"Brevibacterium",12,0,0,15,11,0,16,144,49,22,69
"Brevirhabdus",15,11,10,0,0,0,17,0,63,0,0
"Brevundimonas",137,62,38,50,30,29,22,32,74,48,50
"Brucella",12,0,13,13,10,0,10,23,18,22,11
"Bufo",0,0,0,0,0,0,0,0,13,11,0
"Bugulina",0,0,0,0,0,0,0,0,0,13,0
"Burkholderia",117,40,38,36,46,54,24,46,87,94,88
"Bythopirellula",245,69,151,79,123,142,94,79,69,152,100
"Caballeronia",26,13,15,0,0,13,0,0,12,19,16
"Caenorhabditis",0,0,0,0,0,30,0,0,11,24,15
"Cafeteria",0,0,25,0,0,0,0,0,0,0,0
"Cajanus",0,0,0,0,0,0,0,0,0,10,0
"Calanus",0,0,0,0,0,0,0,0,0,10,0
"Caldalkalibacillus",0,0,0,0,0,0,28,25,0,17,0
"Caldichromatium",10,0,0,0,0,0,0,0,0,0,0
"Caldithrix",0,0,0,0,0,0,0,0,0,13,0
"Callithrix",0,0,0,0,0,0,0,0,0,12,0
"Callorhinchus",0,0,0,0,0,0,0,0,0,12,0
"Calothrix",0,0,0,0,0,0,0,0,0,0,11
"Calycomorphotria",12,0,0,0,0,0,0,0,0,0,0
"Calypte",0,0,0,0,0,0,0,0,0,0,10
"Camellia",0,0,0,0,0,13,0,19,39,31,23
"Campylobacter",0,0,0,0,0,11,0,0,14,21,0
"Candida/Metschnikowiaceae",0,0,0,0,15,0,0,0,10,0,23
"Candidatus Accumulibacter",26,0,0,0,0,0,0,0,0,19,12
"Candidatus Actinomarina",0,25,15,21,31,51,47,57,101,260,119
"Candidatus Aerophobus",0,22,644,315,1360,40,1496,2958,15932,27847,2538
"Candidatus Arcticimaribacter",0,13,0,13,0,13,11,17,31,49,21
"Candidatus Atelocyanobacterium",37,31,30,41,96,130,24,17,157,189,73
"Candidatus Babela",0,0,0,0,0,13,12,0,18,25,11
"Candidatus Brocadia",0,0,0,0,0,0,0,0,0,12,0
"Candidatus Desulfobacillus",42,0,0,0,0,0,0,0,0,18,0
"Candidatus Endoriftia",13,42,10,25,25,13,16,0,18,0,0
"Candidatus Jettenia",20,0,0,0,0,0,0,0,0,0,0
"Candidatus Kuenenia",0,0,0,0,0,0,0,0,0,12,12
"Candidatus Megaira",0,0,0,0,0,0,0,0,0,16,12
"Candidatus Methanoliparum",0,0,0,0,0,0,0,0,0,10,0
"Candidatus Methanoperedens",0,0,13,10,24,16,16,37,46,69,47
"Candidatus Methylomirabilis",0,0,0,0,0,0,0,0,0,17,0
"Candidatus Methylopumilus",0,0,0,0,0,0,0,0,16,24,18
"Candidatus Nanopelagicus",0,0,0,0,0,0,0,0,0,10,17
"Candidatus Nitrohelix",11,0,10,54,0,0,0,0,0,0,0
"Candidatus Nitronauta",0,0,0,19,0,0,0,0,0,0,0
"Candidatus Nitrosocosmicus",0,64,35,17,24,37,0,0,12,22,0
"Candidatus Nitrosomarinus",57,23,31,23,61,74,89,130,213,643,236
"Candidatus Nitrosopelagicus",0,0,0,0,0,0,13,12,27,88,41
"Candidatus Nitrosotalea",0,0,0,0,0,0,0,0,0,43,18
"Candidatus Nitrosotenuis",0,0,0,0,0,0,0,0,0,32,12
"Candidatus Nitrotoga",0,0,0,0,0,0,0,17,0,0,0
"Candidatus Pelagibacter",110,252,210,285,295,484,512,578,1444,2396,1304
"Candidatus Phaeomarinobacter",0,0,0,30,18,15,0,0,0,0,0
"Candidatus Phytoplasma",0,0,0,0,11,0,0,0,50,10,25
"Candidatus Planktophila",0,22,12,0,0,11,0,0,0,16,22
"Candidatus Prometheoarchaeum",20,12,255,662,78,45,13,0,0,32,0
"Candidatus Promineofilum",54,0,0,0,0,14,0,0,0,30,28
"Candidatus Protochlamydia",0,0,0,0,0,0,0,0,0,11,0
"Candidatus Pseudothioglobus",130,749,552,560,831,1247,1244,1569,2712,4350,2518
"Candidatus Puniceispirillum",0,0,0,0,0,0,0,0,0,34,29
"Candidatus Reidiella",0,10,0,143,25,0,0,0,15,0,0
"Candidatus Rhabdochlamydia",0,0,0,0,0,0,0,0,0,10,0
"Candidatus Ruthia",0,0,0,0,20,0,0,10,0,10,0
"Candidatus Stammera",0,0,0,0,0,0,0,0,0,10,0
"Candidatus Tenderia",18,10,0,11,10,14,0,0,24,37,0
"Candidatus Thalassarchaeum",170,1147,1013,606,1813,1855,1345,1994,3611,8619,4246
"Candidatus Thioglobus",20,103,94,85,117,265,299,259,410,959,708
"Candidatus Vesicomyosocius",0,0,0,0,0,0,10,0,0,0,0
"Candidatus Viadribacter",0,0,0,0,0,0,0,0,0,0,10
"Canis",0,0,0,0,0,0,0,0,14,16,17
"Cannabis",0,0,0,0,0,0,0,0,14,14,10
"Capillimicrobium",27,27,22,10,24,18,12,0,22,66,42
"Capsicum",0,0,0,0,0,0,0,0,20,25,21
"Carassius",0,0,0,0,0,0,0,0,0,11,0
"Carcharodon",0,11,0,0,13,0,14,14,47,108,35
"Carex",0,0,0,0,0,0,13,13,52,36,43
"Carica",0,0,0,0,0,0,0,0,0,12,0
"Carlito",0,0,0,0,0,0,0,0,0,17,0
"Carnobacterium",0,0,14,10,0,56,0,25,16,13,0
"Carpinus",0,32,58,191,293,89,96,165,314,260,293
"Carya",0,0,0,0,0,0,0,0,28,18,12
"Catellatospora",20,240,214,90,98,35,10,16,0,36,12
"Catenulispora",0,0,0,0,0,0,0,0,10,0,10
"Catharus",0,0,0,0,0,0,0,0,0,11,0
"Caulifigura",30,0,10,0,12,10,0,10,12,21,16
"Caulobacter",193,55,46,43,25,33,18,21,66,36,45
"Celeribacter",29,11,23,25,10,14,49,31,68,24,20
"Cellulomonas",22,31,32,11,22,30,12,50,42,39,74
"Cellulophaga",0,21,0,13,0,0,30,11,20,32,19
"Cellulosimicrobium",0,0,0,0,0,0,0,0,0,0,21
"Cellvibrio",0,0,0,10,0,0,0,0,11,12,0
"Cenchrus",0,0,0,0,0,0,0,0,0,0,13
"Cerataulina",0,0,0,0,0,0,0,0,0,0,10
"Ceratitis",0,0,0,0,0,0,0,0,0,13,0
"Ceratodon",0,0,0,0,11,0,0,0,0,0,0
"Ceratophyllum",0,0,0,0,0,0,0,19,45,38,20
"Ceratosolen",0,0,0,0,0,0,0,0,0,14,0
"Ceratotherium",0,0,0,0,0,0,0,0,15,0,0
"Cereibacter",30,11,10,16,0,10,0,0,18,13,14
"Chaetoceros",24,82,85,51,69,87,136,94,162,139,117
"Changchengzhania",0,0,20,28,0,10,0,0,10,16,10
"Chanos",0,0,0,0,0,0,0,0,0,10,0
"Cheilinus",0,0,0,0,0,0,0,0,0,0,12
"Chelatococcus",82,22,50,13,11,11,12,280,15,30,17
"Chenggangzhangella",45,11,0,11,0,13,0,0,0,19,0
"Chenopodium",0,0,0,0,0,32,10,14,64,25,46
"Chinchilla",0,0,0,0,0,0,0,0,10,0,0
"Chitinimonas",16,0,0,0,0,0,0,0,13,10,0
"Chitinophaga",0,0,0,0,0,0,0,0,0,0,11
"Chlamydia",0,0,0,0,0,0,0,0,0,14,0
"Chlamydomonas",0,11,0,0,14,0,0,10,11,12,21
"Chloracidobacterium",11,0,0,0,0,0,0,0,0,0,0
"Chlorella",0,17,0,0,0,10,0,0,16,24,16
"Chlorobaculum",12,0,0,0,0,0,0,0,0,0,0
"Chloroparvula",0,0,11,0,17,59,49,18,52,120,36
"Chloropicon",0,44,43,40,32,55,16,25,22,71,27
"Chondromyces",15,0,0,11,0,0,0,0,0,14,13
"Chondrus",0,0,0,0,0,0,0,13,12,18,15
"Chorda",0,0,0,0,0,0,0,0,11,21,21
"Chromobacterium",26,0,0,15,0,0,0,0,0,20,0
"Chrysaora",0,12,0,0,0,0,0,0,0,0,0
"Chryseobacterium",0,0,10,15,0,14,10,12,28,31,27
"Chryseoglobus",0,0,0,0,0,0,0,71,0,0,0
"Chrysochromulina",0,0,0,0,0,0,0,0,11,0,0
"Ciceribacter",11,0,0,0,0,0,0,0,13,0,0
"Ciona",10,128,160,197,364,275,95,146,215,226,233
"Citrifermentans",19,0,0,0,0,0,0,0,0,0,0
"Citrobacter",0,0,0,0,0,0,0,0,0,10,0
"Citromicrobium",12,0,0,0,0,0,39,0,26,0,0
"Cladophialophora",0,0,0,0,0,0,0,23,0,37,0
"Clavibacter",0,0,0,0,0,0,0,14,0,0,0
"Clostridium",15,40,37,51,56,74,110,127,112,184,164
"Clupea",82,756,3021,1169,1432,1814,3014,686,1275,3771,1752
"Cobetia",0,0,0,0,0,0,0,0,54,10,0
"Coccomyxa",0,0,0,0,0,0,0,0,0,12,0
"Cohaesibacter",0,0,11,11,0,0,0,0,0,0,0
"Cohnella",0,0,0,0,12,0,11,19,14,14,55
"Colletotrichum",0,0,0,0,0,0,0,12,12,11,0
"Collimonas",15,0,0,0,0,0,0,0,0,12,0
"Colwellia",10,68,265,35,55,78,58,55,77,127,100
"Comamonas",32,14,17,18,16,28,12,14,48,24,63
"Conexibacter",49,47,42,13,58,45,37,27,50,224,116
"Conticribra",0,0,0,0,0,0,0,0,0,17,12
"Corallococcus",10,0,0,0,0,0,0,0,0,14,0
"Cordyceps",0,12,0,0,0,0,0,0,0,0,0
"Coregonus",0,17,10,16,10,18,21,29,27,27,22
"Corylus",90,571,502,578,1840,1766,4115,7170,8160,9827,12907
"Corynebacterium",31,25,49,46,35,52,107,268,243,136,206
"Coscinodiscus",0,0,0,0,0,0,14,13,22,42,19
"Cosmia",0,0,10,12,10,0,0,0,0,0,0
"Cottoperca",0,0,0,0,0,0,0,0,11,17,0
"Coturnix",0,0,0,0,0,0,0,0,0,12,0
"Couchioplanes",0,19,11,42,15,10,40,54,0,30,10
"Coxiella",0,0,0,0,0,10,0,0,0,15,0
"Crassaminicella",0,0,0,0,16,15,0,0,0,0,0
"Crassostrea",0,0,0,0,0,0,0,0,13,0,0
"Crateriforma",19,10,19,14,0,15,0,12,10,22,10
"Crenobacter",13,0,0,0,0,0,0,0,0,0,0
"Cricetulus",0,0,0,0,0,0,0,0,0,19,0
"Croceibacterium",0,0,0,0,0,0,14,0,13,0,0
"Croceicoccus",29,0,12,0,0,0,303,12,72,15,11
"Croceimicrobium",0,0,0,0,60,22,0,0,0,0,0
"Crocinitomix",10,44,0,12,0,0,0,0,0,10,0
"Crocosphaera",0,0,0,0,0,0,0,0,0,12,0
"Crotalus",0,0,0,0,0,0,0,0,0,11,0
"Cryobacterium",0,18,0,13,0,0,0,23,10,0,0
"Cryothecomonas",0,29,0,0,0,0,0,0,0,0,0
"Cryptosula",0,11,11,19,16,12,14,13,25,44,18
"Ctenocephalides",0,0,0,0,0,0,0,0,0,19,0
"Cucumis",0,0,0,0,0,0,0,0,0,0,13
"Cucurbita",0,0,0,0,0,0,0,0,0,16,0
"Culex",12,14,14,15,18,70,28,29,42,62,48
"Culicoides",0,0,0,0,0,0,0,0,0,11,0
"Cupriavidus",137,42,36,34,35,50,20,33,83,90,81
"Curtobacterium",0,0,0,0,0,0,0,24,0,0,0
"Cutibacterium",10,21,166,67,56,70,25,84,188,154,418
"Cyanea",0,53,19,12,38,32,0,0,13,0,0
"Cyanistes",0,0,0,0,0,15,0,11,21,15,12
"Cyanobium",13,49,21,26,24,36,18,13,35,114,61
"Cybosia",0,0,0,0,0,0,0,0,0,11,0
"Cyclobacterium",0,0,0,10,0,0,0,36,147,0,0
"Cyclopterus",0,0,0,10,0,0,0,0,19,23,11
"Cyclotrichium",0,15,0,0,0,0,0,0,0,0,0
"Cylindrotheca",0,19,0,19,20,41,47,33,51,93,31
"Cymbomonas",0,0,0,0,0,39,0,36,37,37,18
"Cynara",0,0,0,0,0,0,0,11,11,10,0
"Cynodon",0,0,0,0,0,0,0,0,0,0,21
"Cyperus",0,0,0,0,0,0,0,0,13,12,23
"Cyphellophora",0,0,0,0,0,0,0,0,36,0,0
"Cyprideis",25,76,100,88,73,104,70,73,115,260,147
"Cyprinodon",0,0,0,0,0,0,0,0,0,0,11
"Cyprinus",0,0,0,0,0,0,0,0,0,16,11
"Cytobacillus",0,0,15,84,48,70,190,256,78,0,98
"Dactylosporangium",0,0,15,16,13,0,17,0,0,19,10
"Daldinia",0,0,0,0,0,30,0,0,0,62,41
"Danio",0,0,0,0,10,0,0,20,38,70,28
"Darwinula",0,0,0,12,0,0,0,0,0,22,0
"Dasypus",0,0,0,0,0,0,0,0,0,0,11
"Daucus",0,0,0,0,0,0,0,0,0,11,0
"Dechloromonas",19,0,14,0,0,0,10,0,14,20,20
"Defluviicoccus",125,42,36,33,25,35,16,37,51,65,93
"Dehalococcoides",0,0,0,0,0,0,0,0,0,17,0
"Dehalogenimonas",0,0,0,0,0,0,0,0,0,24,10
"Deinococcus",50,11,0,0,15,21,0,12,30,38,32
"Delftia",0,0,0,0,0,0,0,0,12,0,11
"Dendrobium",0,0,0,0,0,0,0,0,0,13,0
"Dendronephthya",0,0,0,0,0,0,0,0,0,17,0
"Denitratisoma",15,0,0,0,0,0,0,0,81,14,0
"Dermacentor",0,0,0,0,0,0,0,0,0,13,10
"Deschampsia",0,0,0,0,0,0,0,0,0,0,11
"Desmarestia",0,0,0,0,0,12,0,0,0,0,0
"Desulfarculus",0,0,0,0,0,0,0,0,0,15,0
"Desulfatibacillum",0,0,0,0,0,0,0,0,0,14,0
"Desulfitobacterium",0,0,0,0,0,0,0,14,0,43,0
"Desulfobacter",0,0,0,75,0,0,0,0,0,19,14
"Desulfobacterium",0,25,43,30,41,39,17,40,39,117,57
"Desulfobacula",0,0,0,46,0,17,0,0,13,36,12
"Desulfobulbus",0,0,0,0,0,0,0,0,16,19,0
"Desulfocapsa",11,0,0,0,0,0,0,0,0,0,0
"Desulfococcus",0,0,14,10,11,0,0,10,0,22,0
"Desulfoglaeba",0,0,0,10,10,10,0,0,26,39,19
"Desulfoluna",0,0,0,0,0,0,0,0,0,13,0
"Desulfomicrobium",0,0,0,0,0,0,0,0,11,12,13
"Desulfonema",0,18,18,25,24,32,21,35,27,58,33
"Desulforapulum",0,0,0,0,0,0,0,0,0,14,0
"Desulfosarcina",40,90,67,79,105,65,52,56,77,141,83
"Desulfoscipio",0,0,0,0,0,0,0,122,37,10,49
"Desulfosediminicola",29,31,29,64,21,27,0,15,10,26,0
"Desulfosporosinus",0,0,10,15,0,28,56,156,25,188,41
"Desulfosudis",0,0,0,0,0,0,0,0,12,0,0
"Desulfotomaculum",0,0,0,0,0,0,0,0,0,10,0
"Desulfovibrio",23,10,12,12,10,18,11,17,19,26,14
"Desulfuromonas",51,21,15,225,13,20,0,29,30,39,34
"Devosia",109,55,50,58,36,45,37,423,65,84,58
"Diaphorina",0,0,0,0,0,0,10,0,10,15,0
"Diaphorobacter",10,0,0,0,0,0,0,0,0,17,14
"Dickeya",12,0,0,0,0,0,0,0,10,10,0
"Dictyocha",0,41,35,59,113,148,112,184,242,301,283
"Dictyostelium",0,0,0,0,0,0,0,0,0,13,0
"Dietzia",11,388,231,31,629,16,38687,85004,67539,652,7707
"Digitaria",0,0,0,0,0,15,0,23,37,67,99
"Dinoroseobacter",29,0,0,11,0,0,103,11,187,12,0
"Dioscorea",0,0,0,0,0,0,0,0,11,0,0
"Diplonema",0,0,0,0,0,0,0,0,0,11,89
"Dipodomys",0,0,0,13,15,13,0,0,16,16,22
"Discostella",0,0,0,0,0,0,0,14,32,59,37
"Dokdonella",11,0,0,0,0,0,0,0,0,0,0
"Dolichospermum",0,0,0,0,0,0,0,0,22,19,46
"Dolichovespula",0,0,0,0,0,16,10,15,26,29,20
"Draconibacterium",0,0,33,472,0,0,0,0,0,22,13
"Drepanopeziza",0,0,0,0,0,0,0,0,10,0,0
"Dromiciops",0,0,0,0,0,0,0,13,16,18,0
"Drosophila",12,31,24,30,37,28,37,33,37,54,43
"Dryopteris",0,0,10,0,17,30,0,17,73,116,189
"Dunaliella",0,0,0,0,0,0,0,0,0,10,0
"Durio",0,0,0,0,40,114,275,582,1286,783,417
"Dyella",22,12,0,0,0,10,0,0,22,22,11
"Echinicola",0,0,0,0,0,0,0,36,384,0,0
"Echinocardium",0,0,0,0,0,0,0,0,12,14,0
"Ectocarpus",0,0,0,0,0,11,0,0,12,0,0
"Ectothiorhodospira",0,0,0,0,0,0,0,0,22,0,0
"Egibacter",0,0,0,0,0,0,0,0,0,10,10
"Eimeria",0,39,22,15,24,27,25,31,30,67,43
