"","EUK.BLANK.2","EUK.BLANK.3","EUK.BLANK.4","EUK.BLANK.5","EUK.BLANK.7","EUK.BLANK.8","EUK.ExrNTC.1","EUK.ExrNTC.3","EUK.ExrNTC.4","EUK.ExrNTC.5","EUK.ExrNTC.6","EUK.ExrNTC.7","EUK.ExrNTC.8","EUK.ExrPTC.1","EUK.ExrPTC.2","EUK.ExrPTC.3","EUK.ExrPTC.4","EUK.ExrPTC.5","EUK.ExrPTC.6","EUK.ExrPTC.7","EUK.ExrPTC.8","EUK.LH.MD9.0000.1","EUK.LH.MD9.0000.2","EUK.LH.MD9.0000.3","EUK.LH.MD9.0000.4","EUK.LH.MD9.0000.5","EUK.LH.MD9.0000.6","EUK.LH.MD9.0000.7","EUK.LH.MD9.0000.8","EUK.LH.MD9.0250.1","EUK.LH.MD9.0250.2","EUK.LH.MD9.0250.3","EUK.LH.MD9.0250.4","EUK.LH.MD9.0250.5","EUK.LH.MD9.0250.6","EUK.LH.MD9.0250.7","EUK.LH.MD9.0250.8","EUK.LH.MD9.0450.1","EUK.LH.MD9.0450.2","EUK.LH.MD9.0450.3","EUK.LH.MD9.0450.4","EUK.LH.MD9.0450.5","EUK.LH.MD9.0450.6","EUK.LH.MD9.0450.7","EUK.LH.MD9.0450.8","EUK.LH.MD9.0700.1","EUK.LH.MD9.0700.2","EUK.LH.MD9.0700.3","EUK.LH.MD9.0700.4","EUK.LH.MD9.0700.5","EUK.LH.MD9.0700.6","EUK.LH.MD9.0700.7","EUK.LH.MD9.0700.8","EUK.LH.MD9.0900.1","EUK.LH.MD9.0900.2","EUK.LH.MD9.0900.3","EUK.LH.MD9.0900.4","EUK.LH.MD9.0900.5","EUK.LH.MD9.0900.6","EUK.LH.MD9.0900.7","EUK.LH.MD9.0900.8","EUK.LH.MD9.1150.1","EUK.LH.MD9.1150.2","EUK.LH.MD9.1150.3","EUK.LH.MD9.1150.4","EUK.LH.MD9.1150.5","EUK.LH.MD9.1150.6","EUK.LH.MD9.1150.7","EUK.LH.MD9.1150.8","EUK.NM.MD9.1849.1","EUK.NM.MD9.1849.2","EUK.NM.MD9.1849.3","EUK.NM.MD9.1849.4","EUK.NM.MD9.1849.5","EUK.NM.MD9.1849.6","EUK.NM.MD9.1849.7","EUK.NM.MD9.1849.8","EUK.NM.MD9.2050.1","EUK.NM.MD9.2050.2","EUK.NM.MD9.2050.3","EUK.NM.MD9.2050.4","EUK.NM.MD9.2050.5","EUK.NM.MD9.2050.6","EUK.NM.MD9.2050.7","EUK.NM.MD9.2050.8","EUK.NM.MD9.2250.1","EUK.NM.MD9.2250.2","EUK.NM.MD9.2250.3","EUK.NM.MD9.2250.4","EUK.NM.MD9.2250.5","EUK.NM.MD9.2250.6","EUK.NM.MD9.2250.7","EUK.NM.MD9.2250.8","EUK.NM.MD9.2450.1","EUK.NM.MD9.2450.2","EUK.NM.MD9.2450.3","EUK.NM.MD9.2450.4","EUK.NM.MD9.2450.5","EUK.NM.MD9.2450.6","EUK.NM.MD9.2450.7","EUK.NM.MD9.2450.8","EUK.NM.MD9.2650.1","EUK.NM.MD9.2650.2","EUK.NM.MD9.2650.3","EUK.NM.MD9.2650.4","EUK.NM.MD9.2650.5","EUK.NM.MD9.2650.6","EUK.NM.MD9.2650.7","EUK.NM.MD9.2650.8","EUK.TubNTC.1","EUK.TubNTC.2","EUK.TubNTC.3","EUK.TubNTC.4","EUK.TubNTC.5","EUK.TubNTC.6","EUK.BLANK.1","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"ASV_41",0,0,0,0,0,0,0,0,0,0,0,0,0,1321,2355,4513,1412,2120,2201,3507,4524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,59,167,477,396,224,256,110,972,218,405,270,464,1070,280,565,72,271,202,44,672,35,348,194,536,575,449,871,264,482,926,690,41,139,52,0,41,31,134,110,288,502,193,597,290,494,214,212,379,103,365,373,117,548,175,340,207,41,21,207,88,106,32,58,22,99,0,72,36,92,0,0,0,32,62,0,0,48,0,35,0,0,32,44,0,132,175,247,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,29,34,134,69,50,65,147,262,85,194,330,119,232,80,246,72,292,210,101,1504,53,333,324,304,406,364,528,187,232,478,465,46,173,215,92,788,20,122,529,330,80,105,199,1088,200,103,139,1159,39,87,73,189,1081,99,151,262,35,28,39,56,140,35,23,70,31,57,75,267,73,114,219,37,110,45,98,89,134,157,49,77,48,347,88,391,92,63,886,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,2,6,14,18,12,12,8,67,53,63,280,22,46,46,143,82,63,136,48,78,126,103,22,187,90,13,448,16,45,239,1580,846,549,841,7561,1602,784,910,184,2,7,19,29,144,6,34,199,47,33,35,48,117,24,11,44,25,27,22,137,29,31,19,1,4,0,1,0,1,4,0,7,38,44,0,33,16,19,22,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,180,93,343,221,129,244,310,98,28,121,240,109,114,69,69,194,531,549,269,3682,176,697,806,218,110,221,184,57,112,189,134,116,709,519,101,1122,36,426,738,46,23,64,25,245,33,58,43,457,3,24,15,37,376,17,69,169,24,2,27,48,66,61,8,4,15,1,2,10,11,59,26,0,61,1,0,23,3,20,2,36,73,105,21,102,91,94,553,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_54",0,0,0,0,0,0,0,0,0,0,0,0,0,663,751,11320,548,692,845,1191,1483,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1680,1210,2834,2856,1541,2944,1732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_59",0,0,0,0,0,0,0,0,0,0,0,0,0,1248,2063,3458,1283,1285,1449,2750,2449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,51,24,12,29,101,120,25,29,131,612,598,203,860,134,470,487,711,893,1020,786,430,560,1154,1069,113,778,167,249,839,91,600,569,63,13,22,41,25,88,58,22,107,3,25,23,11,174,15,36,61,36,7,26,36,12,33,23,0,0,0,0,0,0,0,0,0,0,14,39,8,46,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,42,86,48,33,222,108,85,186,608,459,278,817,248,562,727,298,607,443,406,149,328,389,728,127,671,131,327,929,122,523,605,0,84,14,133,60,232,51,46,60,0,41,9,52,86,0,42,383,60,92,84,70,178,13,29,88,260,0,130,0,138,370,93,0,0,22,62,0,0,0,49,19,0,0,35,141,70,0,122,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,9,9,0,14,6,2,0,25,11,0,0,15,36,98,143,211,101,61,87,164,56,153,1056,224,377,704,108,586,297,322,248,175,378,399,304,299,222,330,47,51,158,56,249,61,133,160,7,23,157,9,91,2,89,152,45,103,33,159,54,130,0,132,81,64,425,187,306,50,17,202,214,516,128,998,403,436,899,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,6,6,2,3,4,0,4,15,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,2119,1826,1916,2273,828,1166,2051,1978,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_67","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5764,0,0,0,0,5619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_71","High","2053489","Archaea","Candidatus Lokiarchaeota","","","","","Candidatus Lokiarchaeota archaeon"
"ASV_74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1751,1245,1767,1959,807,1486,2007,2322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,28,10,24,21,19,27,16,21,10,40,0,0,0,0,0,0,115,83,82,305,91,107,378,166,131,1044,220,493,736,77,734,310,272,388,213,226,388,551,169,192,225,42,140,136,319,217,117,367,639,45,59,177,121,211,54,88,158,199,206,60,163,228,470,164,82,42,119,195,113,102,96,79,0,0,0,36,130,0,60,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,50,51,140,64,45,18,0,100,115,233,24,39,184,113,173,71,745,1550,366,1014,264,687,603,426,504,403,525,212,361,653,450,69,334,5,66,218,37,164,177,53,146,64,195,376,239,40,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_83","High-MH","None","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae",NA,NA
"ASV_86",0,0,0,0,0,0,0,0,0,0,0,0,0,541,742,7339,398,527,621,972,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18,9,4,47,4,10,8,1,79,298,167,97,2016,46,295,228,359,344,352,247,93,153,204,245,140,609,542,70,1502,53,441,1083,47,32,21,38,267,83,26,33,72,1,13,0,2,13,2,0,117,9,4,2,21,44,5,11,5,10,0,0,6,0,0,0,21,0,1,18,5,25,24,6,0,5,37,0,0,40,0,29,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_94",0,0,0,0,0,0,0,0,0,0,0,0,0,491,732,6259,372,383,551,948,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_94","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,92,147,139,371,512,126,457,0,0,0,0,0,0,0,0,350,759,920,524,227,400,774,1060,0,0,0,0,0,0,0,0,131,122,88,179,296,251,303,85,477,40,167,64,171,408,86,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18,19,13,67,55,3,51,55,52,27,52,84,33,91,26,104,52,246,283,123,1444,77,241,240,557,783,675,620,212,408,640,623,14,56,115,10,376,13,41,218,178,49,29,35,472,91,83,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,9,2,24,25,7,6,55,152,427,705,276,3219,176,673,776,80,65,51,81,43,50,69,201,46,204,203,34,778,13,191,321,26,22,0,34,152,17,34,19,0,6,9,0,0,0,2,7,0,1,0,4,2,0,0,0,0,0,0,0,5,0,34,1,7,60,15,3,27,57,38,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,906,447,1650,1577,544,1263,1806,5,0,0,0,0,1,3,0,13,29,30,16,227,20,66,27,6,3,1,7,0,3,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_101","Low-MH-S","1295009;1406512","Archaea","Candidatus Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","Methanomassiliicoccus",NA
"ASV_105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,36,150,0,47,49,178,114,374,58,237,234,130,91,14,25,42,48,58,33,210,136,260,873,710,268,335,370,595,563,36,177,109,36,210,16,172,65,74,122,131,151,368,203,165,66,35,13,81,30,65,137,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,25,0,0,0,19,0,22,7,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_106",0,0,0,0,0,0,0,0,0,0,0,0,0,706,1070,1754,420,913,975,1456,1614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,4,0,1,3,18,19,29,16,11,0,7,30,192,940,897,239,3394,104,601,1964,18,7,9,3,46,16,2,20,48,0,4,1,3,40,6,5,0,0,1,0,0,0,0,0,1,1,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
