"","EUK.BLANK","EUK.ExrNTC","EUK.ExrPTC","EUK.LH.MD9.0000","EUK.LH.MD9.0250","EUK.LH.MD9.0450","EUK.LH.MD9.0700","EUK.LH.MD9.0900","EUK.LH.MD9.1150","EUK.NM.MD9.1849","EUK.NM.MD9.2050","EUK.NM.MD9.2250","EUK.NM.MD9.2450","EUK.NM.MD9.2650","EUK.TubNTC","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"ASV_11",0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_12",0,0,0,0,1,0,5,0,0,4,8,8,8,8,0,"ASV_12","High","863577","Eukaryota","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala equina"
"ASV_13",0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,"ASV_13","Low","2711279","Eukaryota","Apicomplexa","Conoidasida","Eugregarinorida","Cephaloidophoridae","Cephaloidophora","Cephaloidophora bipinnatae"
"ASV_14",0,0,0,0,3,2,4,1,0,8,1,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_15",0,1,1,8,3,8,8,8,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_16",0,0,0,8,8,8,8,8,8,8,8,8,8,8,0,"ASV_16","Low","2805718","Eukaryota","","","","","","Stramenopiles sp. MAST-1C-sp1"
"ASV_17",0,0,1,8,4,4,7,7,4,1,2,8,1,1,0,"ASV_17","Low","1982027","Eukaryota","Ciliophora","Prostomatea","Prorodontida","Plagiocampidae","Plagiocampa","Plagiocampa sp."
"ASV_18",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_19",0,0,0,3,1,2,8,3,1,0,2,0,2,1,0,"ASV_19","Low","87785","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinidae","Atherina","Atherina boyeri"
"ASV_20",0,0,0,8,8,0,8,1,0,1,1,0,0,0,0,"ASV_20","Low","2026739","Archaea","Euryarchaeota","","","","","Euryarchaeota archaeon"
"ASV_21",0,0,1,6,8,8,8,8,8,7,5,2,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_22",0,0,0,7,8,8,8,8,8,8,8,8,8,8,0,"ASV_22","Low","136459","Eukaryota","Tubulinea","Elardia","Leptomyxida","Flabellulidae","Paraflabellula","Paraflabellula hoguae"
"ASV_23",0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,"ASV_23","High-MH","None","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_24",0,0,0,8,0,0,0,0,1,0,0,2,0,0,0,"ASV_24","Low","2829680","Bacteria","","","","","","bacterium SCSIO 12827"
"ASV_25",0,0,0,8,8,8,7,8,8,8,8,7,7,8,0,"ASV_25","Low","2059681","Eukaryota","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Auritella","Auritella spiculosa"
"ASV_26",0,0,0,8,8,8,8,8,8,8,7,8,8,5,0,"ASV_26","Low","238836","Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella donghaensis"
"ASV_27",0,0,0,8,8,0,3,8,0,0,0,8,0,3,0,"ASV_27","High-MH","None","Eukaryota","Bacillariophyta",NA,NA,NA,NA,NA
"ASV_28",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,"ASV_28","Low","1527793","Eukaryota","","Dinophyceae","Coccidiniales","Chytriodiniaceae","Chytriodinium","Chytriodinium sp. Atlantic"
"ASV_29",0,1,0,8,8,8,8,8,8,7,6,5,6,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_30",0,0,0,5,8,8,8,8,8,8,8,8,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_31",0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,"ASV_31","Low","262243","Eukaryota","Endomyxa","Ascetosporea","Haplosporida","","","Haplosporidian parasite of Pandalus platyceros"
"ASV_32",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_33",0,0,1,8,8,8,8,8,8,8,8,7,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_34",0,0,0,0,8,8,0,5,0,0,1,0,0,0,0,"ASV_34","Low","284968","Eukaryota","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Nannochloris","Nannochloris sp. MBIC10055"
"ASV_35",0,0,0,5,8,8,8,8,8,8,8,8,8,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_36",0,0,0,2,8,8,8,3,8,1,0,0,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_37",0,0,0,0,0,8,7,3,0,8,0,2,2,2,0,"ASV_37","Low","35684","Eukaryota","","Dictyochophyceae","Pedinellales","","Pseudopedinella","Pseudopedinella elastica"
"ASV_38",0,0,2,8,8,8,8,7,8,8,8,6,4,5,0,"ASV_38","Low","254430","Eukaryota","","Ichthyosporea","Ichthyophonida","","Anurofeca","Anurofeca sp. LAH-2003"
"ASV_39",0,0,0,4,8,8,8,8,8,8,8,8,8,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_40",0,0,0,0,0,0,0,0,0,8,8,8,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_41",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_42",0,0,0,0,0,0,8,0,8,8,0,0,0,0,0,"ASV_42","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_43",0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,"ASV_43","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_44",0,0,0,8,8,8,7,8,8,8,8,8,4,5,0,"ASV_44","Low","470921","Eukaryota","","Ichthyosporea","Ichthyophonida","","Creolimax","Creolimax fragrantissima"
"ASV_45",0,0,0,8,8,8,8,7,8,8,8,5,4,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_46",0,0,8,8,8,8,8,8,8,8,8,8,8,8,0,"ASV_46","Low","476100","Eukaryota","","Dinophyceae","Peridiniales","Pfiesteriaceae","","Pfiesteriaceae sp. masanensis"
"ASV_47",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_48",0,0,0,8,8,8,8,8,8,8,8,8,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_49",0,0,0,0,8,8,8,8,8,8,8,8,5,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_50",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_50","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_51",0,0,0,8,3,8,7,0,0,0,0,0,0,0,0,"ASV_51","Low","2012228","Eukaryota","Cryptomycota","","","","","Cryptomycota sp."
"ASV_52",0,0,0,8,8,8,8,8,8,8,8,8,6,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_53",0,0,0,8,0,8,8,8,8,5,0,1,0,0,0,"ASV_53","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_54",0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_55",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_55","Low","670520","Eukaryota","","Bigyra","Thraustochytrida","Thraustochytriaceae","Aplanochytrium","Aplanochytrium sp. S1a"
"ASV_56",0,0,0,1,8,8,8,8,8,8,8,8,8,8,0,"ASV_56","Low","694315","Bacteria","Myxococcota","","Haliangiales","Kofleriaceae","Kofleria","Kofleria flava"
"ASV_57",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,"ASV_57","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_58",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_59",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_60",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_61",0,0,0,2,8,8,8,8,8,8,8,0,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_62",0,0,0,0,8,8,8,8,7,6,8,6,3,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_63",0,0,0,8,8,8,8,3,8,0,0,0,0,0,0,"ASV_63","Low","1516059","Bacteria","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer","Microbulbifer sp. ALW1"
"ASV_64",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_64","High-MH","None","Eukaryota","Streptophyta","Magnoliopsida","Alismatales","Zosteraceae",NA,NA
"ASV_65",0,0,8,8,8,8,8,8,8,8,8,8,8,8,0,"ASV_65","High-MH","None","Eukaryota","","Dinophyceae",NA,NA,NA,NA
"ASV_66",0,0,0,1,4,5,8,8,8,8,8,7,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_67",0,0,3,7,1,1,8,2,1,2,1,3,1,0,0,"ASV_67","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_68",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,"ASV_68","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_69",0,0,0,1,8,8,8,8,8,8,7,8,8,7,0,"ASV_69","High-MH","None","Eukaryota","Chlorophyta","Trebouxiophyceae",NA,NA,NA,NA
"ASV_70",0,0,0,6,2,8,7,8,2,0,0,5,6,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_71",0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,"ASV_71","High","2053489","Archaea","Candidatus Lokiarchaeota","","","","","Candidatus Lokiarchaeota archaeon"
"ASV_72",0,0,0,8,8,7,8,7,8,8,3,3,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_73",0,0,0,8,8,8,8,8,8,8,6,6,6,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_74",0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_75",0,0,0,8,8,8,8,8,7,6,7,1,5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_76",0,0,0,1,8,2,8,8,8,8,8,8,8,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_77",0,0,0,8,8,8,8,8,8,6,2,4,5,6,0,"ASV_77","High-MH","None","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_78",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_78","Low","1503927","Eukaryota","Euglenozoa","","Diplonemea","Hemistasiidae","Hemistasia","Hemistasia phaeocysticola"
"ASV_79",0,0,0,4,8,8,7,7,8,4,0,4,7,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_80",0,0,0,8,8,8,7,8,8,8,3,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_81",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_81","Low","947086","Eukaryota","Apicomplexa","Conoidasida","Eugregarinorida","Cephaloidophoridae","Cephaloidophora","Cephaloidophora cf. communis"
"ASV_82",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_82","Low","1548548","Bacteria","","Deltaproteobacteria","Bradymonadales","Bradymonadaceae","Bradymonas","Bradymonas sediminis"
"ASV_83",0,0,0,7,8,8,8,8,8,0,0,0,0,0,0,"ASV_83","High-MH","None","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae",NA,NA
"ASV_84",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_84","Low","46767","Eukaryota","","Bigyra","Opalinata","Blastocystidae","Blastocystis","Blastocystis sp."
"ASV_85",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_86",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_87",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,"ASV_87","Low","629752","Eukaryota","Cercozoa","Imbricatea","Thaumatomonadida","Thaumatomastigidae","Protaspis","Protaspis sp. CC-2009a"
"ASV_88",0,0,8,8,8,4,2,6,4,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_89",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_89","High-MH","None","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_90",0,0,0,6,6,7,8,8,8,8,0,5,8,0,0,"ASV_90","Low","1475470","Eukaryota","Chlorophyta","Chlorophyceae","Sphaeropleales","Neochloridaceae","Neochloris","Neochloris sp. GM4e"
"ASV_91",0,0,0,8,6,8,8,8,8,8,4,0,4,2,0,"ASV_91","Low","1869227","Bacteria","","","","","","bacterium"
"ASV_92",0,0,0,4,8,8,8,8,8,8,7,7,7,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_93",0,0,0,1,8,8,8,8,8,6,8,3,7,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_94",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_94","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_95",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_96",0,0,0,0,8,0,8,0,8,8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_97",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_97","High-MH","None","Eukaryota","Bacillariophyta","Bacillariophyceae","Naviculales",NA,NA,NA
"ASV_98",0,0,1,8,8,8,8,8,8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_99",0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,"ASV_99","High-MH","None","Bacteria","Pseudomonadota","Alphaproteobacteria","Parvularculales","Parvularculaceae",NA,NA
"ASV_100",0,0,0,1,8,8,8,8,7,4,3,3,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_101",0,0,0,8,3,8,6,2,0,0,0,0,0,0,0,"ASV_101","Low-MH-S","1295009;1406512","Archaea","Candidatus Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","Methanomassiliicoccus",NA
"ASV_102",0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,"ASV_102","Low","2805731","Eukaryota","","","","","","Stramenopiles sp. MAST-9A-sp1"
"ASV_103",0,0,0,8,8,8,8,4,1,0,0,2,1,1,0,"ASV_103","High-MH","None","Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas",NA
"ASV_104",0,0,0,3,0,6,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_105",0,0,0,5,8,8,8,8,8,7,0,1,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_106",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_107",0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,"ASV_107","Low","42384","Eukaryota","","Hyphochytriomycetes","","Hyphochytriaceae","Hyphochytrium","Hyphochytrium catenoides"
"ASV_108",0,0,0,0,0,6,7,8,8,7,1,5,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_109",0,0,0,0,4,6,8,8,8,8,2,0,0,0,0,"ASV_109","High","113544","Eukaryota","Chordata","Actinopteri","Osteoglossiformes","Osteoglossidae","Arapaima","Arapaima gigas"
"ASV_110",0,0,0,4,8,8,8,8,8,6,3,4,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_111",0,0,0,8,8,8,8,7,8,6,3,5,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_112",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_113",0,0,0,8,8,8,7,8,8,0,0,0,0,0,0,"ASV_113","High","2053489","Archaea","Candidatus Lokiarchaeota","","","","","Candidatus Lokiarchaeota archaeon"
"ASV_114",0,0,7,8,8,8,8,8,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_115",0,0,0,8,8,8,8,6,8,8,1,1,2,1,0,"ASV_115","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_116",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_116","Low","670520","Eukaryota","","Bigyra","Thraustochytrida","Thraustochytriaceae","Aplanochytrium","Aplanochytrium sp. S1a"
"ASV_117",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,"ASV_117","Low","67961","Eukaryota","Rhodophyta","Florideophyceae","Thoreales","Thoreaceae","Thorea","Thorea violacea"
"ASV_118",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_119",0,0,0,8,8,8,8,8,8,6,4,3,5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_120",0,0,0,1,8,8,8,7,8,8,1,3,5,3,0,"ASV_120","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ASV_121",0,0,0,6,4,5,5,3,5,8,8,8,8,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_122",0,0,0,6,8,8,8,8,8,6,6,7,6,4,0,"ASV_122","Low","2806251","Bacteria","Actinomycetota","Actinomycetes","Streptosporangiales","Nocardiopsaceae","Nocardiopsis","Nocardiopsis sp. BM-2018"
"ASV_123",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_124",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_124","Low","2291665","Eukaryota","Bacillariophyta","Bacillariophyceae","Cymbellales","Rhoicospheniaceae","Tursiocola","Tursiocola sp."
"ASV_125",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_126",0,0,0,8,8,7,7,8,8,0,0,0,0,0,0,"ASV_126","Low","483369","Eukaryota","","Dictyochophyceae","Pedinellales","","","Pedinellales sp. CCMP2098"
"ASV_127",0,0,0,5,8,8,8,8,8,7,0,0,0,3,0,"ASV_127","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_128",0,0,0,1,8,8,7,8,8,0,0,0,0,0,0,"ASV_128","Low","2107687","Eukaryota","Apicomplexa","Conoidasida","Eugregarinorida","Siedleckiidae","Chattonaria","Chattonaria mesnili"
"ASV_129",0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,"ASV_129","High-MH","None","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"ASV_130",0,0,0,6,8,8,8,7,7,7,6,4,5,5,0,"ASV_130","High-MH","None","Bacteria","Pseudomonadota","Alphaproteobacteria",NA,NA,NA,NA
"ASV_131",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,"ASV_131","Low","156121","Eukaryota","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Nannochloris","Nannochloris sp. MBIC10091"
"ASV_132",0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_133",0,0,0,8,8,8,8,0,7,1,0,0,3,0,0,"ASV_133","Low","1234144","Bacteria","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","Endozoicomonas gorgoniicola"
"ASV_134",0,0,0,8,0,8,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_135",0,0,8,0,7,4,1,5,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_136",0,0,0,8,8,8,8,8,8,5,0,1,1,1,0,"ASV_136","Low","193542","Eukaryota","","Centroplasthelida","Pterocystida","Pterocystidae","Chlamydaster","Chlamydaster sterni"
"ASV_137",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_137","High","2493946","Eukaryota","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Bovistella","Bovistella utriformis"
"ASV_138",0,0,0,8,8,7,8,8,8,6,6,3,3,2,0,"ASV_138","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_139",0,0,0,1,1,8,8,8,3,3,8,8,6,3,0,"ASV_139","High-MH","None","Eukaryota","Streptophyta","Magnoliopsida",NA,NA,NA,NA
"ASV_140",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_141",0,0,0,7,1,8,0,0,0,1,0,0,2,0,0,"ASV_141","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ASV_142",0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,"ASV_142","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ASV_143",0,0,0,0,8,0,8,2,8,0,7,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_144",0,0,0,5,8,0,8,7,4,7,3,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_145",0,0,0,8,8,8,8,7,7,3,0,0,0,0,0,"ASV_145","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_146",0,0,0,1,0,0,8,0,1,0,0,0,0,0,0,"ASV_146","Low","1866326","Bacteria","Pseudomonadota","Alphaproteobacteria","Parvularculales","Parvularculaceae","Hyphococcus","Hyphococcus flavus"
"ASV_147",0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_148",0,0,0,4,8,8,8,5,8,5,0,0,0,0,0,"ASV_148","Low","947098","Eukaryota","Apicomplexa","Conoidasida","Eugregarinorida","Porosporidae","Thiriotia","Thiriotia pugettiae"
"ASV_149",0,0,0,2,8,8,8,7,8,0,0,0,0,0,0,"ASV_149","Low","672126","Eukaryota","","Bigyra","Oblongichytrida","","Oblongichytrium","Oblongichytrium sp. TN6"
"ASV_150",0,0,0,0,8,0,8,0,7,0,0,0,0,0,0,"ASV_150","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"ASV_151",0,0,0,4,1,3,5,3,1,0,1,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_152",0,0,0,3,8,8,8,8,8,8,8,8,8,8,0,"ASV_152","Low","627966","Eukaryota","","Bigyra","Oblongichytrida","","Oblongichytrium","Oblongichytrium sp. PBS05"
"ASV_153",0,0,0,1,8,5,8,6,8,7,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_154",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_154","Low","331610","Eukaryota","Ciliophora","Spirotrichea","Urostylida","Holostichidae","Holosticha","Holosticha diademata"
"ASV_155",0,0,0,8,3,8,0,0,1,0,0,0,0,0,0,"ASV_155","High-MH","None","Eukaryota","","Dinophyceae",NA,NA,NA,NA
"ASV_156",0,0,0,8,8,8,7,5,1,0,0,0,0,0,0,"ASV_156","High","35684","Eukaryota","","Dictyochophyceae","Pedinellales","","Pseudopedinella","Pseudopedinella elastica"
"ASV_157",0,0,0,3,8,8,8,8,8,8,7,4,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_158",0,0,2,8,8,8,8,8,8,8,6,8,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_159",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_160",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,"ASV_160","Low","2014757","Eukaryota","Ciliophora","Litostomatea","Haptorida","Spathidiidae","Spathidium","Spathidium papilliferum"
"ASV_161",0,0,0,8,2,0,0,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_162",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_162","High-MH","None","Eukaryota","Ciliophora","Oligohymenophorea","Hymenostomatida",NA,NA,NA
